"Nature","Year","Incidents"
"No Apparent Business or Lawful Purpose",2005,405
"Other",2005,1639
"Structuring",2005,2568
"Terrorist Financing",2005,1
"Unknown/Blank",2005,70
"Unusual Use of Counter Checks or Markers",2005,129
"Unusual Use of Negotiable Instruments (Checks)",2005,94
"Unusual Use of Wire Transfers",2005,50
"Use of Multiple Credit or Deposit Accounts",2005,10
"Bribery/Gratuity",2006,36
"Check Fraud (Includes Counterfeit)",2006,260
"Credit/Debit Card Fraud (Includes Counterfeit)",2006,65
"Embezzlement/Theft",2006,45
"False or Conflicting ID(s)",2006,717
"Large Currency Exchange(s)",2006,357
"Minimal Gaming with Large Transactions",2006,1277
"Misuse of Position",2006,15
"Money Laundering",2006,277
"No Apparent Business or Lawful Purpose",2006,411
"Other",2006,2310
"Structuring",2006,2661
"Terrorist Financing",2006,4
"Unknown/Blank",2006,85
"Unusual Use of Counter Checks or Markers",2006,269
"Unusual Use of Negotiable Instruments (Checks)",2006,202
"Unusual Use of Wire Transfers",2006,45
"Use of Multiple Credit or Deposit Accounts",2006,11
"Bribery/Gratuity",2007,32
"Check Fraud (Includes Counterfeit)",2007,344
"Credit/Debit Card Fraud (Includes Counterfeit)",2007,68
"Embezzlement/Theft",2007,36
"False or Conflicting ID(s)",2007,1196
"Large Currency Exchange(s)",2007,381
"Minimal Gaming with Large Transactions",2007,2197
"Misuse of Position",2007,26
"Money Laundering",2007,373
"No Apparent Business or Lawful Purpose",2007,555
"Other",2007,2468
"Structuring",2007,3533
"Terrorist Financing",2007,12
"Unknown/Blank",2007,90
"Unusual Use of Counter Checks or Markers",2007,401
"Unusual Use of Negotiable Instruments (Checks)",2007,306
"Unusual Use of Wire Transfers",2007,78
"Use of Multiple Credit or Deposit Accounts",2007,15
"Bribery/Gratuity",2008,28
"Check Fraud (Includes Counterfeit)",2008,336
"Credit/Debit Card Fraud (Includes Counterfeit)",2008,84
"Embezzlement/Theft",2008,66
"False or Conflicting ID(s)",2008,1183
"Large Currency Exchange(s)",2008,464
"Minimal Gaming with Large Transactions",2008,2655
"Misuse of Position",2008,43
"Money Laundering",2008,431
"No Apparent Business or Lawful Purpose",2008,732
"Other",2008,2463
"Structuring",2008,4588
"Terrorist Financing",2008,3
"Unknown/Blank",2008,114
"Unusual Use of Counter Checks or Markers",2008,450
"Unusual Use of Negotiable Instruments (Checks)",2008,304
"Unusual Use of Wire Transfers",2008,83
"Use of Multiple Credit or Deposit Accounts",2008,8
"Bribery/Gratuity",2009,32
"Check Fraud (Includes Counterfeit)",2009,493
"Credit/Debit Card Fraud (Includes Counterfeit)",2009,144
"Embezzlement/Theft",2009,108
"False or Conflicting ID(s)",2009,1257
"Large Currency Exchange(s)",2009,576
"Minimal Gaming with Large Transactions",2009,2822
"Misuse of Position",2009,28
"Money Laundering",2009,523
"No Apparent Business or Lawful Purpose",2009,809
"Other",2009,2487
"Structuring",2009,4811
"Terrorist Financing",2009,2
"Unknown/Blank",2009,106
"Unusual Use of Counter Checks or Markers",2009,405
"Unusual Use of Negotiable Instruments (Checks)",2009,370
"Unusual Use of Wire Transfers",2009,78
"Use of Multiple Credit or Deposit Accounts",2009,25
"Bribery/Gratuity",2010,14
"Check Fraud (Includes Counterfeit)",2010,307
"Credit/Debit Card Fraud (Includes Counterfeit)",2010,118
"Embezzlement/Theft",2010,41
"False or Conflicting ID(s)",2010,562
"Large Currency Exchange(s)",2010,285
"Minimal Gaming with Large Transactions",2010,1477
"Misuse of Position",2010,14
"Money Laundering",2010,283
"No Apparent Business or Lawful Purpose",2010,389
"Other",2010,1211
"Structuring",2010,2857
"Terrorist Financing",2010,1
"Unknown/Blank",2010,77
"Unusual Use of Counter Checks or Markers",2010,268
"Unusual Use of Negotiable Instruments (Checks)",2010,217
"Unusual Use of Wire Transfers",2010,36
"Use of Multiple Credit or Deposit Accounts",2010,8
