"Relationship","Year","Incidents"
"New York",1999,3
"North Carolina",1999,0
"North Dakota",1999,2
"Northern Mariana Islands",1999,0
"Ohio",1999,0
"Oklahoma",1999,0
"Oregon",1999,26
"Palau",1999,0
"Pennsylvania",1999,0
"Puerto Rico",1999,1
"Rhode Island",1999,0
"South Carolina",1999,0
"South Dakota",1999,0
"Tennessee",1999,0
"Texas",1999,0
"U.S. Virgin Islands",1999,0
"Unknown/Blank",1999,4
"Utah",1999,0
"Vermont",1999,0
"Virginia",1999,0
"Washington",1999,12
"West Virginia",1999,0
"Wisconsin",1999,29
"Wyoming",1999,0
"Alabama",2000,0
"Alaska",2000,0
"American Samoa",2000,0
"Arizona",2000,7
"Arkansas",2000,0
"California",2000,19
"Colorado",2000,1
"Connecticut",2000,0
"Delaware",2000,0
"District of Columbia",2000,0
"Federated States of Micronesia",2000,0
"Florida",2000,1
"Georgia",2000,0
"Guam",2000,0
"Hawaii",2000,0
"Idaho",2000,0
"Illinois",2000,27
"Indiana",2000,12
"Iowa",2000,22
"Kansas",2000,5
"Kentucky",2000,0
"Louisiana",2000,4
"Maine",2000,0
"Marshall Islands",2000,0
"Maryland",2000,0
"Massachusetts",2000,0
"Michigan",2000,58
"Minnesota",2000,11
"Mississippi",2000,14
"Missouri",2000,5
"Montana",2000,0
"Nebraska",2000,0
"Nevada",2000,112
"New Hampshire",2000,0
"New Jersey",2000,74
"New Mexico",2000,1
"New York",2000,0
"North Carolina",2000,1
"North Dakota",2000,0
"Northern Mariana Islands",2000,0
"Ohio",2000,0
"Oklahoma",2000,0
"Oregon",2000,38
"Palau",2000,0
"Pennsylvania",2000,0
"Puerto Rico",2000,2
"Rhode Island",2000,0
"South Carolina",2000,0
"South Dakota",2000,0
"Tennessee",2000,0
"Texas",2000,0
"U.S. Virgin Islands",2000,0
"Unknown/Blank",2000,10
"Utah",2000,0
"Vermont",2000,0
"Virginia",2000,0
"Washington",2000,14
"West Virginia",2000,0
"Wisconsin",2000,26
"Wyoming",2000,0
"Alabama",2001,0
"Alaska",2001,0
"American Samoa",2001,0
"Arizona",2001,2
"Arkansas",2001,0
"California",2001,18
"Colorado",2001,1
"Connecticut",2001,4
"Delaware",2001,0
"District of Columbia",2001,0
"Federated States of Micronesia",2001,0
"Florida",2001,0
"Georgia",2001,0
"Guam",2001,0
"Hawaii",2001,0
"Idaho",2001,0
"Illinois",2001,27
"Indiana",2001,8
"Iowa",2001,21
"Kansas",2001,0
"Kentucky",2001,0
"Louisiana",2001,8
"Maine",2001,0
"Marshall Islands",2001,0
"Maryland",2001,1
"Massachusetts",2001,0
"Michigan",2001,268
"Minnesota",2001,22
"Mississippi",2001,17
"Missouri",2001,8
"Montana",2001,0
"Nebraska",2001,0
"Nevada",2001,100
"New Hampshire",2001,0
"New Jersey",2001,800
"New Mexico",2001,10
"New York",2001,1
"North Carolina",2001,3
"North Dakota",2001,0
"Northern Mariana Islands",2001,0
"Ohio",2001,0
"Oklahoma",2001,0
"Oregon",2001,19
"Palau",2001,0
"Pennsylvania",2001,0
"Puerto Rico",2001,2
"Rhode Island",2001,0
"South Carolina",2001,0
"South Dakota",2001,0
"Tennessee",2001,0
"Texas",2001,1
"U.S. Virgin Islands",2001,0
"Unknown/Blank",2001,6
"Utah",2001,0
"Vermont",2001,0
"Virginia",2001,0
"Washington",2001,15
"West Virginia",2001,1
"Wisconsin",2001,14
"Wyoming",2001,0
"Alabama",2002,0
"Alaska",2002,0
"American Samoa",2002,0
"Arizona",2002,3
"Arkansas",2002,0
"California",2002,24
"Colorado",2002,3
"Connecticut",2002,5
"Delaware",2002,0
"District of Columbia",2002,0
"Federated States of Micronesia",2002,0
"Florida",2002,1
"Georgia",2002,0
"Guam",2002,0
"Hawaii",2002,0
"Idaho",2002,0
"Illinois",2002,46
"Indiana",2002,6
"Iowa",2002,41
"Kansas",2002,18
"Kentucky",2002,0
"Louisiana",2002,6
"Maine",2002,0
"Marshall Islands",2002,0
"Maryland",2002,0
"Massachusetts",2002,0
"Michigan",2002,165
"Minnesota",2002,25
"Mississippi",2002,28
"Missouri",2002,4
"Montana",2002,0
"Nebraska",2002,0
"Nevada",2002,137
"New Hampshire",2002,0
"New Jersey",2002,1251
"New Mexico",2002,5
"New York",2002,0
"North Carolina",2002,2
"North Dakota",2002,1
"Northern Mariana Islands",2002,0
"Ohio",2002,0
"Oklahoma",2002,0
"Oregon",2002,20
"Palau",2002,0
"Pennsylvania",2002,0
"Puerto Rico",2002,2
"Rhode Island",2002,0
"South Carolina",2002,0
"South Dakota",2002,0
"Tennessee",2002,0
"Texas",2002,0
"U.S. Virgin Islands",2002,1
"Unknown/Blank",2002,2
"Utah",2002,0
"Vermont",2002,0
"Virginia",2002,0
"Washington",2002,11
"West Virginia",2002,0
"Wisconsin",2002,20
"Wyoming",2002,0
"Alabama",2003,0
"Alaska",2003,0
"American Samoa",2003,0
"Arizona",2003,18
"Arkansas",2003,0
"California",2003,114
"Colorado",2003,8
"Connecticut",2003,129
"Delaware",2003,1
"District of Columbia",2003,0
"Federated States of Micronesia",2003,0
"Florida",2003,13
"Georgia",2003,0
"Guam",2003,0
"Hawaii",2003,0
"Idaho",2003,0
"Illinois",2003,265
"Indiana",2003,309
"Iowa",2003,98
"Kansas",2003,60
"Kentucky",2003,1
"Louisiana",2003,135
"Maine",2003,0
"Marshall Islands",2003,0
"Maryland",2003,0
"Massachusetts",2003,0
"Michigan",2003,226
"Minnesota",2003,65
"Mississippi",2003,419
"Missouri",2003,44
"Montana",2003,0
"Nebraska",2003,2
"Nevada",2003,1008
"New Hampshire",2003,0
"New Jersey",2003,1741
"New Mexico",2003,30
"New York",2003,29
"North Carolina",2003,11
"North Dakota",2003,0
"Northern Mariana Islands",2003,0
"Ohio",2003,0
"Oklahoma",2003,12
"Oregon",2003,24
"Palau",2003,0
"Pennsylvania",2003,1
"Puerto Rico",2003,254
"Rhode Island",2003,0
"South Carolina",2003,0
"South Dakota",2003,2
"Tennessee",2003,0
"Texas",2003,0
"U.S. Virgin Islands",2003,0
"Unknown/Blank",2003,28
"Utah",2003,0
"Vermont",2003,0
"Virginia",2003,1
"Washington",2003,13
"West Virginia",2003,1
"Wisconsin",2003,33
"Wyoming",2003,0
"Alabama",2004,0
"Alaska",2004,0
"American Samoa",2004,0
"Arizona",2004,40
"Arkansas",2004,0
"California",2004,260
"Colorado",2004,9
"Connecticut",2004,265
"Delaware",2004,11
"District of Columbia",2004,0
"Federated States of Micronesia",2004,0
"Florida",2004,25
"Georgia",2004,0
"Guam",2004,0
"Hawaii",2004,0
"Idaho",2004,5
"Illinois",2004,237
"Indiana",2004,378
"Iowa",2004,108
"Kansas",2004,21
"Kentucky",2004,0
"Louisiana",2004,273
"Maine",2004,0
"Marshall Islands",2004,0
"Maryland",2004,0
"Massachusetts",2004,0
"Michigan",2004,226
"Minnesota",2004,60
"Mississippi",2004,531
"Missouri",2004,73
"Montana",2004,0
"Nebraska",2004,0
"Nevada",2004,803
"New Hampshire",2004,0
"New Jersey",2004,1927
"New Mexico",2004,35
"New York",2004,121
"North Carolina",2004,9
"North Dakota",2004,0
"Northern Mariana Islands",2004,0
"Ohio",2004,0
"Oklahoma",2004,46
"Oregon",2004,15
"Palau",2004,0
"Pennsylvania",2004,2
"Puerto Rico",2004,147
"Rhode Island",2004,0
"South Carolina",2004,0
"South Dakota",2004,2
"Tennessee",2004,0
"Texas",2004,3
"U.S. Virgin Islands",2004,0
"Unknown/Blank",2004,32
"Utah",2004,0
"Vermont",2004,0
"Virginia",2004,0
"Washington",2004,48
"West Virginia",2004,6
"Wisconsin",2004,35
"Wyoming",2004,0
"Alabama",2005,0
"Alaska",2005,0
"American Samoa",2005,0
"Arizona",2005,37
"Arkansas",2005,0
"California",2005,285
"Colorado",2005,7
"Connecticut",2005,394
"Delaware",2005,15
"District of Columbia",2005,0
"Federated States of Micronesia",2005,0
"Florida",2005,40
"Georgia",2005,0
"Guam",2005,0
"Hawaii",2005,0
"Idaho",2005,9
"Illinois",2005,245
"Indiana",2005,315
"Iowa",2005,116
"Kansas",2005,20
"Kentucky",2005,0
"Louisiana",2005,419
"Maine",2005,0
"Marshall Islands",2005,0
"Maryland",2005,0
"Massachusetts",2005,0
"Michigan",2005,144
"Minnesota",2005,56
"Mississippi",2005,450
"Missouri",2005,104
"Montana",2005,0
"Nebraska",2005,0
"Nevada",2005,827
"New Hampshire",2005,0
"New Jersey",2005,1992
"New Mexico",2005,48
"New York",2005,184
"North Carolina",2005,16
"North Dakota",2005,5
"Northern Mariana Islands",2005,0
"Ohio",2005,0
"Oklahoma",2005,79
"Oregon",2005,16
"Palau",2005,0
"Pennsylvania",2005,0
"Puerto Rico",2005,54
"Rhode Island",2005,1
"South Carolina",2005,0
"South Dakota",2005,5
"Tennessee",2005,0
"Texas",2005,2
"U.S. Virgin Islands",2005,0
"Unknown/Blank",2005,26
"Utah",2005,0
"Vermont",2005,0
"Virginia",2005,0
"Washington",2005,99
"West Virginia",2005,11
"Wisconsin",2005,51
"Wyoming",2005,0
"Alabama",2006,0
"Alaska",2006,0
"American Samoa",2006,0
"Arizona",2006,75
"Arkansas",2006,0
"California",2006,452
"Colorado",2006,14
"Connecticut",2006,552
"Delaware",2006,9
"District of Columbia",2006,0
"Federated States of Micronesia",2006,0
"Florida",2006,128
"Georgia",2006,1
"Guam",2006,0
"Hawaii",2006,0
"Idaho",2006,4
"Illinois",2006,323
"Indiana",2006,367
"Iowa",2006,108
"Kansas",2006,36
"Kentucky",2006,0
"Louisiana",2006,721
"Maine",2006,0
"Marshall Islands",2006,0
"Maryland",2006,1
"Massachusetts",2006,0
"Michigan",2006,172
"Minnesota",2006,102
"Mississippi",2006,348
"Missouri",2006,91
"Montana",2006,0
"Nebraska",2006,1
"Nevada",2006,925
"New Hampshire",2006,0
"New Jersey",2006,1890
"New Mexico",2006,73
"New York",2006,126
"North Carolina",2006,23
"North Dakota",2006,3
"Northern Mariana Islands",2006,0
"Ohio",2006,0
"Oklahoma",2006,458
"Oregon",2006,31
"Palau",2006,0
"Pennsylvania",2006,0
"Puerto Rico",2006,62
"Rhode Island",2006,0
"South Carolina",2006,0
"South Dakota",2006,4
"Tennessee",2006,0
"Texas",2006,5
"U.S. Virgin Islands",2006,1
"Unknown/Blank",2006,55
"Utah",2006,0
"Vermont",2006,0
"Virginia",2006,0
"Washington",2006,72
"West Virginia",2006,5
"Wisconsin",2006,47
"Wyoming",2006,0
"Alabama",2007,0
"Alaska",2007,0
"American Samoa",2007,0
"Arizona",2007,94
"Arkansas",2007,1
"California",2007,596
"Colorado",2007,12
"Connecticut",2007,624
"Delaware",2007,12
"District of Columbia",2007,0
"Federated States of Micronesia",2007,0
"Florida",2007,224
"Georgia",2007,0
"Guam",2007,0
"Hawaii",2007,0
"Idaho",2007,17
"Illinois",2007,508
"Indiana",2007,485
"Iowa",2007,153
"Kansas",2007,60
"Kentucky",2007,0
"Louisiana",2007,663
"Maine",2007,0
"Marshall Islands",2007,0
"Maryland",2007,0
"Massachusetts",2007,0
"Michigan",2007,176
"Minnesota",2007,163
"Mississippi",2007,435
"Missouri",2007,72
"Montana",2007,0
"Nebraska",2007,0
"Nevada",2007,2041
"New Hampshire",2007,0
"New Jersey",2007,2282
"New Mexico",2007,99
"New York",2007,158
"North Carolina",2007,9
"North Dakota",2007,5
"Northern Mariana Islands",2007,0
"Ohio",2007,0
"Oklahoma",2007,763
"Oregon",2007,8
"Palau",2007,0
"Pennsylvania",2007,11
"Puerto Rico",2007,49
"Rhode Island",2007,0
"South Carolina",2007,0
"South Dakota",2007,4
"Tennessee",2007,0
"Texas",2007,2
"U.S. Virgin Islands",2007,0
"Unknown/Blank",2007,50
"Utah",2007,0
"Vermont",2007,0
"Virginia",2007,0
"Washington",2007,113
"West Virginia",2007,3
"Wisconsin",2007,53
"Wyoming",2007,0
"Alabama",2008,2
"Alaska",2008,0
"American Samoa",2008,0
"Arizona",2008,101
"Arkansas",2008,6
"California",2008,811
"Colorado",2008,18
"Connecticut",2008,548
"Delaware",2008,5
"District of Columbia",2008,0
"Federated States of Micronesia",2008,0
"Florida",2008,171
"Georgia",2008,0
"Guam",2008,0
"Hawaii",2008,0
"Idaho",2008,7
"Illinois",2008,416
"Indiana",2008,348
"Iowa",2008,142
"Kansas",2008,186
"Kentucky",2008,0
"Louisiana",2008,677
"Maine",2008,0
"Marshall Islands",2008,0
"Maryland",2008,0
"Massachusetts",2008,0
"Michigan",2008,207
"Minnesota",2008,215
"Mississippi",2008,570
"Missouri",2008,93
"Montana",2008,2
"Nebraska",2008,0
"Nevada",2008,2503
"New Hampshire",2008,0
"New Jersey",2008,2595
"New Mexico",2008,54
"New York",2008,164
"North Carolina",2008,9
"North Dakota",2008,3
"Northern Mariana Islands",2008,0
"Ohio",2008,0
"Oklahoma",2008,747
"Oregon",2008,18
"Palau",2008,0
"Pennsylvania",2008,30
"Puerto Rico",2008,128
"Rhode Island",2008,0
"South Carolina",2008,0
"South Dakota",2008,10
"Tennessee",2008,0
"Texas",2008,26
"U.S. Virgin Islands",2008,1
"Unknown/Blank",2008,51
"Utah",2008,0
"Vermont",2008,0
"Virginia",2008,0
"Washington",2008,185
"West Virginia",2008,62
"Wisconsin",2008,59
"Wyoming",2008,0
"Alabama",2009,9
"Alaska",2009,0
"American Samoa",2009,0
"Arizona",2009,69
"Arkansas",2009,8
"California",2009,807
"Colorado",2009,26
"Connecticut",2009,464
"Delaware",2009,2
"District of Columbia",2009,0
"Federated States of Micronesia",2009,0
"Florida",2009,255
"Georgia",2009,0
"Guam",2009,0
"Hawaii",2009,0
"Idaho",2009,11
"Illinois",2009,418
"Indiana",2009,394
"Iowa",2009,121
"Kansas",2009,64
"Kentucky",2009,0
"Louisiana",2009,914
"Maine",2009,0
"Marshall Islands",2009,0
"Maryland",2009,0
"Massachusetts",2009,0
"Michigan",2009,316
"Minnesota",2009,182
"Mississippi",2009,596
"Missouri",2009,305
"Montana",2009,1
"Nebraska",2009,1
"Nevada",2009,2808
"New Hampshire",2009,19
"New Jersey",2009,2151
"New Mexico",2009,76
"New York",2009,160
"North Carolina",2009,9
"North Dakota",2009,6
"Northern Mariana Islands",2009,0
"Ohio",2009,0
"Oklahoma",2009,897
"Oregon",2009,53
"Palau",2009,0
"Pennsylvania",2009,85
"Puerto Rico",2009,336
"Rhode Island",2009,0
"South Carolina",2009,0
"South Dakota",2009,23
"Tennessee",2009,0
"Texas",2009,41
"U.S. Virgin Islands",2009,0
"Unknown/Blank",2009,51
"Utah",2009,0
"Vermont",2009,0
"Virginia",2009,0
"Washington",2009,261
"West Virginia",2009,88
"Wisconsin",2009,57
"Wyoming",2009,0
"Alabama",2010,12
"Alaska",2010,0
"American Samoa",2010,0
"Arizona",2010,45
"Arkansas",2010,2
"California",2010,460
"Colorado",2010,28
"Connecticut",2010,260
"Delaware",2010,13
"District of Columbia",2010,0
"Federated States of Micronesia",2010,0
"Florida",2010,150
"Georgia",2010,0
"Guam",2010,0
"Hawaii",2010,0
"Idaho",2010,10
"Illinois",2010,270
"Indiana",2010,184
"Iowa",2010,58
"Kansas",2010,22
"Kentucky",2010,0
"Louisiana",2010,530
"Maine",2010,0
"Marshall Islands",2010,0
"Maryland",2010,0
"Massachusetts",2010,0
"Michigan",2010,245
"Minnesota",2010,104
"Mississippi",2010,469
"Missouri",2010,189
"Montana",2010,0
"Nebraska",2010,0
"Nevada",2010,1376
"New Hampshire",2010,0
"New Jersey",2010,993
"New Mexico",2010,42
"New York",2010,115
"North Carolina",2010,3
"North Dakota",2010,5
"Northern Mariana Islands",2010,0
"Ohio",2010,1
"Oklahoma",2010,423
"Oregon",2010,14
"Palau",2010,0
"Pennsylvania",2010,58
"Puerto Rico",2010,236
"Rhode Island",2010,0
"South Carolina",2010,0
"South Dakota",2010,5
"Tennessee",2010,0
"Texas",2010,11
"U.S. Virgin Islands",2010,1
"Unknown/Blank",2010,11
"Utah",2010,0
"Vermont",2010,0
"Virginia",2010,0
"Washington",2010,244
"West Virginia",2010,49
"Wisconsin",2010,26
"Wyoming",2010,0
"Alabama",2011,0
"Alaska",2011,0
"American Samoa",2011,0
"Arizona",2011,0
"Arkansas",2011,0
"California",2011,0
"Colorado",2011,0
"Connecticut",2011,0
"Delaware",2011,0
"District of Columbia",2011,0
"Federated States of Micronesia",2011,0
"Florida",2011,0
"Georgia",2011,0
"Guam",2011,0
"Hawaii",2011,0
"Idaho",2011,0
"Illinois",2011,0
"Indiana",2011,0
"Iowa",2011,0
"Kansas",2011,0
"Kentucky",2011,0
"Louisiana",2011,0
"Maine",2011,0
"Marshall Islands",2011,0
"Maryland",2011,0
"Massachusetts",2011,0
"Michigan",2011,0
"Minnesota",2011,0
"Mississippi",2011,0
"Missouri",2011,0
"Montana",2011,0
"Nebraska",2011,0
"Nevada",2011,0
"New Hampshire",2011,0
"New Jersey",2011,0
"New Mexico",2011,0
"New York",2011,0
"North Carolina",2011,0
"North Dakota",2011,0
"Northern Mariana Islands",2011,0
"Ohio",2011,0
"Oklahoma",2011,0
"Oregon",2011,0
"Palau",2011,0
"Pennsylvania",2011,0
"Puerto Rico",2011,0
"Rhode Island",2011,0
"South Carolina",2011,0
"South Dakota",2011,0
"Tennessee",2011,0
"Texas",2011,0
"U.S. Virgin Islands",2011,0
"Unknown/Blank",2011,0
"Utah",2011,0
"Vermont",2011,0
"Virginia",2011,0
"Washington",2011,0
"West Virginia",2011,0
"Wisconsin",2011,0
"Wyoming",2011,0
