Enforcement Action,Date,Matter No.,Industry Type
"In the Matter of Western Union Financial Services, Inc.",3/6/03,2003-02,Money Services Businesses
In the Matter of Banco Popular de Puerto Rico,1/16/03,2003-01,Depository Institutions
In the Matter of Great Eastern Bank of Florida,9/4/02,2002-02,Depository Institutions
In the Matter of Sovereign Bank,4/8/02,2002-01,Depository Institutions
In the Matter of Angelina Plett,9/4/01,2001-02,Money Services Businesses
In the Matter of Joseph A. Sivigliano,9/4/01,2001-01,Money Services Businesses
In the Matter of Rainbow Casino Vicksburg,12/20/00,2000-02,Casinos
In the Matter of Casa De Cambio Rega,10/23/00,2000-01,Money Services Businesses
"In the Matter of D & S Check Cashing, Inc. and Michael Rose",6/29/00,MSB99-012,Money Services Businesses
In the Matter of Mex Pesos Currency Exchange,4/19/00,MSB99-009,Money Services Businesses
"In the Matter of Ameristar Casino Vicksburg, Inc.",3/6/00,CAS-99-003,Casinos
In the Matter of Polish & Slavic Federal Credit Union,1/18/00,DI 99-011,Depository Institutions
"In the Matter of Sunflower Bank, N.A.",1/6/00,DI 99-008,Depository Institutions
"In the Matter of Grand Casinos of Mississippi, Inc. Biloxi",9/30/99,CAS-99-007,Casinos
"In the Matter of Riverboat Corporation of Mississippi-Vicksburg, d/b/a Isle of Capri-Vicksburg",9/30/99,CAS-99-005,Casinos
"In the Matter of Riverboat Corporation of Mississippi, d/b/a Isle of Capri Casino-Biloxi",9/30/99,CAS-99-004,Casinos
"In the Matter of Lady Luck Mississippi, Inc., d/b/a Lady Luck Natchez",8/9/99,CAS-99-006,Casinos
"In the Matter of Biloxi Casino Corp., d/b/a/ Casino Magic-Biloxi",8/3/99,CAS-99-002,Casinos
"In the Matter of Gulfside Casino Partnership, d/b/a Copa Casino",4/23/99,CAS-99-001,Casinos
