Year Month,State,Countym,Industry,Suspicious Activity,Regulator,Relationship,Product,Instrument,Count
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Borrower,Credit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Borrower,Debit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Borrower,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Borrower,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Customer,Credit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Customer,Credit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Customer,Credit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Customer,Debit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Customer,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,ACH,NCUA,Customer,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Borrower,Credit Card,Bank/Cashier's Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Borrower,Credit Card,Funds Transfer,2
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Borrower,Credit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Borrower,Credit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Borrower,Debit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Borrower,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Borrower,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Customer,Credit Card,Bank/Cashier's Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Customer,Credit Card,Funds Transfer,2
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Customer,Credit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Customer,Credit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Customer,Debit Card,Bank/Cashier's Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Customer,Debit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Customer,Debit Card,Personal/Business Check,2
2012 April,California,"Los Angeles County, CA",Depository Institution,Check,NCUA,Customer,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Consumer Loan,NCUA,Borrower,Credit Card,Bank/Cashier's Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Consumer Loan,NCUA,Borrower,Credit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Consumer Loan,NCUA,Customer,Credit Card,Bank/Cashier's Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Consumer Loan,NCUA,Customer,Credit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Borrower,Credit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Borrower,Credit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Borrower,Credit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Borrower,Debit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Borrower,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Borrower,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Customer,Credit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Customer,Credit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Customer,Credit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Customer,Debit Card,Funds Transfer,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Customer,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Credit/Debit Card,NCUA,Customer,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Identity Theft,NCUA,Customer,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Multiple Transactions Below Bsa Recordkeeping Threshold,NCUA,Borrower,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Multiple Transactions Below Bsa Recordkeeping Threshold,NCUA,Borrower,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Multiple Transactions Below Bsa Recordkeeping Threshold,NCUA,Customer,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Multiple Transactions Below Bsa Recordkeeping Threshold,NCUA,Customer,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Suspicious Receipt of Government Payments/Benefits,NCUA,Borrower,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Suspicious Receipt of Government Payments/Benefits,NCUA,Borrower,Debit Card,U.S. Currency,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Suspicious Receipt of Government Payments/Benefits,NCUA,Customer,Debit Card,Personal/Business Check,1
2012 April,California,"Los Angeles County, CA",Depository Institution,Suspicious Receipt of Government Payments/Benefits,NCUA,Customer,Debit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,ACH,NCUA,Other,Credit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,ACH,NCUA,Other,Credit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,ACH,NCUA,Other,Credit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,ACH,NCUA,Other,Debit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,ACH,NCUA,Other,Debit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,ACH,NCUA,Other,Debit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,Check,NCUA,Other,Credit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,Check,NCUA,Other,Credit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,Check,NCUA,Other,Credit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,Check,NCUA,Other,Debit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,Check,NCUA,Other,Debit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,Check,NCUA,Other,Debit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,Credit/Debit Card,NCUA,Other,Credit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,Credit/Debit Card,NCUA,Other,Credit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,Credit/Debit Card,NCUA,Other,Credit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,Credit/Debit Card,NCUA,Other,Debit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,Credit/Debit Card,NCUA,Other,Debit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,Credit/Debit Card,NCUA,Other,Debit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,Elder Financial Exploitation,NCUA,Other,Credit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,Elder Financial Exploitation,NCUA,Other,Credit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,Elder Financial Exploitation,NCUA,Other,Credit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,Elder Financial Exploitation,NCUA,Other,Debit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,Elder Financial Exploitation,NCUA,Other,Debit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,Elder Financial Exploitation,NCUA,Other,Debit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,Forgeries,NCUA,Other,Credit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,Forgeries,NCUA,Other,Credit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,Forgeries,NCUA,Other,Credit Card,U.S. Currency,1
2012 April,California,"Ventura County, CA",Depository Institution,Forgeries,NCUA,Other,Debit Card,Funds Transfer,1
2012 April,California,"Ventura County, CA",Depository Institution,Forgeries,NCUA,Other,Debit Card,Personal/Business Check,1
2012 April,California,"Ventura County, CA",Depository Institution,Forgeries,NCUA,Other,Debit Card,U.S. Currency,1
2012 April,Colorado,"Broomfield County, CO",Depository Institution,Elder Financial Exploitation,NCUA,Customer,Other,Bank/Cashier's Check,1
2012 April,Colorado,"Broomfield County, CO",Depository Institution,Elder Financial Exploitation,NCUA,No Relationship to Institution,Other,Bank/Cashier's Check,1
2012 April,Colorado,"Rio Blanco County, CO",Depository Institution,Alters Transaction to Avoid Bsa Recordkeeping Requirement,FDIC,Customer,Other,U.S. Currency,1
2012 April,Colorado,"Rio Blanco County, CO",Depository Institution,Alters Transactions to Avoid Ctr Requirement,FDIC,Customer,Other,U.S. Currency,1
2012 April,Colorado,"Rio Blanco County, CO",Depository Institution,Multiple Transactions Below Bsa Recordkeeping Threshold,FDIC,Customer,Other,U.S. Currency,1
2012 April,Colorado,"Rio Blanco County, CO",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Customer,Other,U.S. Currency,1
2012 April,Colorado,"Rio Blanco County, CO",Depository Institution,"Transaction with No Apparent Economic, Business, or Lawful Purpose",FDIC,Customer,Other,U.S. Currency,1
2012 April,Connecticut,"New Haven County, CT",Depository Institution,Suspicious Use of Multiple Accounts,NCUA,Customer,Home Equity Line of Credit,Funds Transfer,1
2012 April,Connecticut,"New Haven County, CT",Depository Institution,Suspicious Use of Multiple Accounts,NCUA,Customer,Other,Funds Transfer,1
2012 April,Connecticut,"New Haven County, CT",Depository Institution,Suspicious Use of Multiple Locations,NCUA,Customer,Home Equity Line of Credit,Funds Transfer,1
2012 April,Connecticut,"New Haven County, CT",Depository Institution,Suspicious Use of Multiple Locations,NCUA,Customer,Other,Funds Transfer,1
2012 April,Connecticut,"New Haven County, CT",Depository Institution,Wire Transfer,NCUA,Customer,Home Equity Line of Credit,Funds Transfer,1
2012 April,Connecticut,"New Haven County, CT",Depository Institution,Wire Transfer,NCUA,Customer,Other,Funds Transfer,1
2012 April,Florida,"Duval County, FL",Depository Institution,Other Fraud (Type),NCUA,Customer,Other,Personal/Business Check,1
2012 April,Georgia,"Fulton County, GA",Depository Institution,Check,NCUA,Customer,Other,Money Orders,1
2012 April,Georgia,"Fulton County, GA",Depository Institution,Check,NCUA,Customer,Other,Personal/Business Check,1
2012 April,Georgia,"Fulton County, GA",Depository Institution,Counterfeit Instrument (Other),NCUA,Customer,Other,Money Orders,1
2012 April,Georgia,"Fulton County, GA",Depository Institution,Counterfeit Instrument (Other),NCUA,Customer,Other,Personal/Business Check,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Suspicious Concerning the Source of Funds,FDIC,Customer,Other,Government Payment,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Suspicious Concerning the Source of Funds,FDIC,Customer,Other,Personal/Business Check,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Suspicious EFT/Wire Transfers,FDIC,Customer,Other,Government Payment,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Suspicious EFT/Wire Transfers,FDIC,Customer,Other,Personal/Business Check,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Suspicious Receipt of Government Payments/Benefits,FDIC,Customer,Other,Government Payment,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Suspicious Receipt of Government Payments/Benefits,FDIC,Customer,Other,Personal/Business Check,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Suspicious Use of Multiple Accounts,FDIC,Customer,Other,Government Payment,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Suspicious Use of Multiple Accounts,FDIC,Customer,Other,Personal/Business Check,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Transaction Out of Pattern for Customer(s),FDIC,Customer,Other,Government Payment,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Transaction Out of Pattern for Customer(s),FDIC,Customer,Other,Personal/Business Check,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Unlicensed or Unregistered MSB,FDIC,Customer,Other,Government Payment,1
2012 April,Idaho,"Bonneville County, ID",Depository Institution,Unlicensed or Unregistered MSB,FDIC,Customer,Other,Personal/Business Check,1
2012 April,Indiana,"Tippecanoe County, IN",Depository Institution,Elder Financial Exploitation,NCUA,No Relationship to Institution,Debit Card,Personal/Business Check,1
2012 April,Indiana,"Tippecanoe County, IN",Depository Institution,Elder Financial Exploitation,NCUA,No Relationship to Institution,Debit Card,U.S. Currency,1
2012 April,Kansas,"Riley County, KS",Depository Institution,Elder Financial Exploitation,FDIC,Other,Debit Card,U.S. Currency,1
2012 April,Kansas,"Wyandotte County, KS",Depository Institution,Loan Modification Fraud,FDIC,Customer,Residential Mortgage,Funds Transfer,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Borrower,Commercial Mortgage,Funds Transfer,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Borrower,Commercial Mortgage,Personal/Business Check,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Borrower,Commercial Mortgage,U.S. Currency,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Customer,Commercial Mortgage,Funds Transfer,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Customer,Commercial Mortgage,Personal/Business Check,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Customer,Commercial Mortgage,U.S. Currency,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Suspicious Use of Multiple Locations,FDIC,Borrower,Commercial Mortgage,Funds Transfer,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Suspicious Use of Multiple Locations,FDIC,Borrower,Commercial Mortgage,Personal/Business Check,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Suspicious Use of Multiple Locations,FDIC,Borrower,Commercial Mortgage,U.S. Currency,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Suspicious Use of Multiple Locations,FDIC,Customer,Commercial Mortgage,Funds Transfer,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Suspicious Use of Multiple Locations,FDIC,Customer,Commercial Mortgage,Personal/Business Check,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Suspicious Use of Multiple Locations,FDIC,Customer,Commercial Mortgage,U.S. Currency,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Transaction Out of Pattern for Customer(s),FDIC,Borrower,Commercial Mortgage,Funds Transfer,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Transaction Out of Pattern for Customer(s),FDIC,Borrower,Commercial Mortgage,Personal/Business Check,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Transaction Out of Pattern for Customer(s),FDIC,Borrower,Commercial Mortgage,U.S. Currency,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Transaction Out of Pattern for Customer(s),FDIC,Customer,Commercial Mortgage,Funds Transfer,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Transaction Out of Pattern for Customer(s),FDIC,Customer,Commercial Mortgage,Personal/Business Check,1
2012 April,Louisiana,"East Baton Rouge Parish, LA",Depository Institution,Transaction Out of Pattern for Customer(s),FDIC,Customer,Commercial Mortgage,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Alters Transactions to Avoid Ctr Requirement,FDIC,Borrower,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Alters Transactions to Avoid Ctr Requirement,FDIC,Customer,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Alters Transactions to Avoid Ctr Requirement,FDIC,Director,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Alters Transactions to Avoid Ctr Requirement,FDIC,Employee,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Alters Transactions to Avoid Ctr Requirement,FDIC,Other,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Borrower,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Customer,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Director,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Employee,Bonds/Notes,U.S. Currency,1
2012 April,Louisiana,"Union Parish, LA",Depository Institution,Multiple Transactions Below Ctr Threshold,FDIC,Other,Bonds/Notes,U.S. Currency,1
2012 April,Massachusetts,"Worcester County, MA",Depository Institution,Other Money Laundering,NCUA,Customer,Other,Personal/Business Check,1
2012 April,Massachusetts,"Worcester County, MA",Depository Institution,Other Money Laundering,NCUA,Customer,Other,U.S. Currency,1
2012 April,Massachusetts,"Worcester County, MA",Depository Institution,Transaction Out of Pattern for Customer(s),NCUA,Customer,Other,Personal/Business Check,1
2012 April,Massachusetts,"Worcester County, MA",Depository Institution,Transaction Out of Pattern for Customer(s),NCUA,Customer,Other,U.S. Currency,1
2012 April,New Jersey,"Union County, NJ",Depository Institution,Other Other Suspicious Activities,NCUA,Customer,Debit Card,Personal/Business Check,1
2012 April,New York,"Albany County, NY",Depository Institution,Consumer Loan,NCUA,Customer,Debit Card,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Check,OCC,Borrower,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Check,OCC,Borrower,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Check,OCC,Customer,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Check,OCC,Customer,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Check,OCC,No Relationship to Institution,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Check,OCC,No Relationship to Institution,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Refused or Avoided Request for Documentation,OCC,Borrower,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Refused or Avoided Request for Documentation,OCC,Borrower,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Refused or Avoided Request for Documentation,OCC,Customer,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Refused or Avoided Request for Documentation,OCC,Customer,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Refused or Avoided Request for Documentation,OCC,No Relationship to Institution,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Refused or Avoided Request for Documentation,OCC,No Relationship to Institution,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Concerning the Source of Funds,OCC,Borrower,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Concerning the Source of Funds,OCC,Borrower,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Concerning the Source of Funds,OCC,Customer,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Concerning the Source of Funds,OCC,Customer,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Concerning the Source of Funds,OCC,No Relationship to Institution,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Concerning the Source of Funds,OCC,No Relationship to Institution,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Use of Noncash Monetary Instruments,OCC,Borrower,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Use of Noncash Monetary Instruments,OCC,Borrower,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Use of Noncash Monetary Instruments,OCC,Customer,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Use of Noncash Monetary Instruments,OCC,Customer,Home Equity Line of Credit,U.S. Currency,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Use of Noncash Monetary Instruments,OCC,No Relationship to Institution,Home Equity Line of Credit,Personal/Business Check,1
2012 April,North Carolina,"Mecklenburg County, NC",Depository Institution,Suspicious Use of Noncash Monetary Instruments,OCC,No Relationship to Institution,Home Equity Line of Credit,U.S. Currency,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Changes Spelling or Arrangement of Name,OCC,Other,Prepaid Access,Government Payment,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Changes Spelling or Arrangement of Name,OCC,Other,Prepaid Access,U.S. Currency,2
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Identity Theft,OCC,Other,Prepaid Access,Government Payment,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Identity Theft,OCC,Other,Prepaid Access,U.S. Currency,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Multiple Individuals with Same or Similar Identities,OCC,Other,Prepaid Access,Government Payment,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Multiple Individuals with Same or Similar Identities,OCC,Other,Prepaid Access,U.S. Currency,2
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Other Fraud (Type),OCC,Other,Prepaid Access,Government Payment,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Other Fraud (Type),OCC,Other,Prepaid Access,U.S. Currency,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Other Other Suspicious Activities,OCC,Other,Prepaid Access,Government Payment,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Other Other Suspicious Activities,OCC,Other,Prepaid Access,U.S. Currency,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Provided Questionable or False Documentation,OCC,Other,Prepaid Access,Government Payment,1
2012 April,Oklahoma,"Garfield County, OK",Depository Institution,Provided Questionable or False Documentation,OCC,Other,Prepaid Access,U.S. Currency,2
